iter	Passed	Remaining
0	20	11443
1	49	13523
2	73	13215
3	94	12861
4	117	12715
5	155	14007
6	181	14006
7	205	13796
8	227	13601
9	252	13553
10	275	13421
11	299	13320
12	324	13316
13	349	13294
14	373	13215
15	395	13091
16	424	13220
17	446	13086
18	467	12964
19	494	13017
20	519	12991
21	548	13070
22	578	13144
23	607	13202
24	629	13120
25	652	13051
26	676	13000
27	701	12983
28	723	12902
29	745	12827
30	768	12769
31	793	12748
32	823	12794
33	844	12710
34	873	12751
35	895	12683
36	921	12670
37	943	12616
38	965	12554
39	987	12488
40	1011	12456
41	1037	12451
42	1060	12410
43	1085	12386
44	1113	12393
45	1140	12394
46	1164	12367
47	1187	12318
48	1211	12289
49	1240	12305
50	1264	12275
51	1285	12216
52	1310	12192
53	1338	12195
54	1361	12155
55	1383	12103
56	1408	12086
57	1433	12061
58	1456	12026
59	1487	12052
60	1509	11998
61	1534	11982
62	1561	11969
63	1591	11984
64	1615	11954
65	1639	11927
66	1660	11874
67	1687	11861
68	1714	11853
69	1754	11927
70	1774	11870
71	1800	11856
72	1822	11810
73	1848	11792
74	1876	11781
75	1898	11742
76	1925	11730
77	1952	11717
78	1975	11679
79	1997	11638
80	2022	11609
81	2048	11592
82	2076	11583
83	2097	11534
84	2122	11509
85	2144	11468
86	2168	11441
87	2190	11400
88	2216	11380
89	2241	11356
90	2265	11329
91	2292	11315
92	2313	11269
93	2335	11228
94	2357	11193
95	2379	11151
96	2400	11112
97	2424	11083
98	2446	11047
99	2481	11069
100	2502	11027
101	2528	11008
102	2558	11003
103	2586	10990
104	2606	10948
105	2627	10907
106	2650	10876
107	2676	10854
108	2697	10816
109	2721	10786
110	2746	10762
111	2768	10729
112	2791	10695
113	2813	10660
114	2836	10630
115	2858	10597
116	2883	10571
117	2905	10539
118	2928	10506
119	2949	10471
120	2970	10433
121	2993	10403
122	3017	10377
123	3038	10340
124	3063	10316
125	3084	10282
126	3108	10257
127	3131	10225
128	3155	10199
129	3181	10181
130	3202	10145
131	3228	10125
132	3248	10087
133	3275	10071
134	3295	10032
135	3318	10003
136	3342	9977
137	3363	9945
138	3387	9919
139	3408	9883
140	3429	9851
141	3456	9833
142	3480	9810
143	3506	9789
144	3530	9763
145	3555	9741
146	3579	9714
147	3602	9686
148	3632	9677
149	3656	9652
150	3675	9615
151	3697	9583
152	3720	9557
153	3745	9533
154	3768	9506
155	3791	9478
156	3815	9453
157	3837	9423
158	3872	9425
159	3896	9400
160	3920	9374
161	3941	9342
162	3962	9311
163	3985	9283
164	4006	9251
165	4030	9226
166	4053	9200
167	4076	9171
168	4098	9143
169	4116	9104
170	4138	9075
171	4162	9050
172	4182	9017
173	4203	8986
174	4224	8956
175	4252	8940
176	4275	8914
177	4295	8880
178	4315	8847
179	4337	8818
180	4358	8788
181	4379	8758
182	4398	8725
183	4418	8692
184	4447	8678
185	4468	8649
186	4490	8621
187	4517	8601
188	4539	8574
189	4562	8547
190	4581	8515
191	4602	8486
192	4626	8462
193	4646	8430
194	4669	8405
195	4693	8381
196	4713	8350
197	4734	8321
198	4756	8293
199	4782	8273
200	4803	8245
201	4826	8218
202	4844	8186
203	4868	8162
204	4891	8137
205	4913	8110
206	4936	8084
207	4958	8058
208	4982	8034
209	5004	8007
210	5023	7975
211	5046	7949
212	5069	7925
213	5090	7896
214	5110	7867
215	5133	7842
216	5155	7816
217	5178	7791
218	5199	7764
219	5222	7738
220	5243	7711
221	5266	7686
222	5288	7659
223	5307	7629
224	5332	7608
225	5355	7583
226	5377	7557
227	5398	7530
228	5420	7504
229	5448	7485
230	5470	7459
231	5491	7432
232	5519	7414
233	5540	7387
234	5570	7371
235	5592	7345
236	5615	7321
237	5639	7298
238	5666	7278
239	5693	7259
240	5718	7237
241	5745	7217
242	5768	7193
243	5792	7169
244	5813	7142
245	5836	7118
246	5865	7100
247	5886	7073
248	5908	7047
249	5933	7025
250	5957	7002
251	5982	6979
252	6010	6960
253	6036	6939
254	6064	6920
255	6087	6895
256	6112	6873
257	6134	6848
258	6159	6825
259	6177	6795
260	6201	6771
261	6225	6748
262	6248	6723
263	6269	6696
264	6295	6676
265	6320	6653
266	6349	6634
267	6370	6607
268	6391	6581
269	6418	6561
270	6442	6537
271	6465	6512
272	6485	6485
273	6509	6462
274	6540	6445
275	6568	6425
276	6595	6404
277	6616	6378
278	6640	6354
279	6662	6329
280	6683	6303
281	6718	6290
282	6740	6263
283	6765	6241
284	6786	6214
285	6806	6188
286	6831	6165
287	6857	6142
288	6880	6118
289	6902	6093
290	6923	6066
291	6947	6043
292	6970	6018
293	6992	5993
294	7014	5968
295	7040	5946
296	7062	5921
297	7082	5893
298	7111	5874
299	7131	5847
300	7154	5823
301	7177	5799
302	7201	5775
303	7235	5759
304	7260	5736
305	7283	5712
306	7306	5687
307	7326	5661
308	7346	5634
309	7374	5614
310	7394	5587
311	7427	5570
312	7450	5546
313	7473	5521
314	7495	5496
315	7520	5473
316	7543	5449
317	7570	5428
318	7593	5403
319	7614	5378
320	7641	5356
321	7665	5332
322	7688	5308
323	7712	5284
324	7737	5261
325	7759	5236
326	7781	5211
327	7804	5187
328	7839	5170
329	7860	5144
330	7883	5120
331	7903	5094
332	7930	5072
333	7951	5047
334	7972	5021
335	7995	4997
336	8018	4972
337	8042	4948
338	8061	4922
339	8085	4898
340	8105	4873
341	8127	4847
342	8151	4824
343	8173	4799
344	8196	4775
345	8218	4750
346	8240	4725
347	8263	4701
348	8284	4676
349	8305	4651
350	8324	4624
351	8345	4599
352	8367	4574
353	8391	4551
354	8418	4529
355	8439	4504
356	8458	4477
357	8482	4454
358	8505	4430
359	8529	4406
360	8555	4384
361	8574	4358
362	8594	4332
363	8613	4306
364	8634	4281
365	8659	4258
366	8679	4233
367	8699	4208
368	8720	4183
369	8744	4159
370	8766	4134
371	8803	4117
372	8823	4092
373	8845	4067
374	8868	4044
375	8889	4019
376	8916	3997
377	8938	3972
378	8958	3947
379	8982	3923
380	9003	3899
381	9024	3874
382	9044	3849
383	9065	3824
384	9090	3801
385	9111	3776
386	9134	3752
387	9155	3728
388	9175	3703
389	9196	3678
390	9215	3653
391	9235	3628
392	9262	3606
393	9289	3583
394	9308	3558
395	9330	3534
396	9350	3509
397	9372	3485
398	9391	3460
399	9420	3438
400	9440	3413
401	9465	3390
402	9485	3365
403	9508	3342
404	9532	3318
405	9551	3293
406	9571	3269
407	9589	3243
408	9612	3219
409	9632	3195
410	9658	3172
411	9683	3149
412	9721	3130
413	9743	3106
414	9764	3082
415	9787	3058
416	9809	3034
417	9829	3009
418	9852	2986
419	9872	2961
420	9896	2938
421	9916	2913
422	9936	2889
423	9957	2865
424	9981	2841
425	10003	2817
426	10026	2794
427	10050	2770
428	10075	2747
429	10097	2723
430	10119	2700
431	10142	2676
432	10165	2652
433	10185	2628
434	10202	2603
435	10222	2579
436	10245	2555
437	10266	2531
438	10288	2507
439	10308	2483
440	10328	2459
441	10354	2436
442	10373	2411
443	10400	2389
444	10424	2366
445	10446	2342
446	10468	2318
447	10491	2295
448	10520	2272
449	10540	2248
450	10566	2225
451	10587	2201
